company_financing_stage,company_industry,company_name,company_people,job_edu_require,job_exp_require,job_id,job_name,job_salary,job_tag,job_welfare,record_date
不需要融资,"硬件,企业服务",厦门科拓通讯技术股份有限公司,500-2000人,本科,5-10年,6428156,大数据开发工程师,15k-25k,数据分析,独立团队 双休弹性上下班 团建活动丰富,2020-04-23
未融资,"移动互联网,医疗丨健康",药智网,150-500人,大专,3-5年,7044855,大数据开发工程师,5k-9k,数据分析,周末双休、节日福利、五险一金,2020-04-23
B轮,"移动互联网,企业服务",上海意鹰信息技术有限公司,150-500人,本科,3-5年,6280142,大数据开发工程师,11k-16k,数据分析,晋升空间大，团队氛围好，领导Nice,2020-04-23
未融资,"数据服务,金融",CLPS,500-2000人,本科,5-10年,6829146,大数据开发工程师,20k-40k,数据分析,"外资,世界五百强",2020-04-23
不需要融资,移动互联网,椰子传媒,50-150人,不限,3-5年,7056582,大数据开发工程师,20k-30k,数据分析,移动互联网广告行业，拥有TB级数据,2020-04-23
不需要融资,"区块链,移动互联网",丰旬国际,50-150人,本科,3-5年,7024368,大数据开发工程师,28k-55k,数据分析,薪资福利待遇好，发展空间大,2020-04-23
不需要融资,"企业服务,金融",苏州精正,少于15人,本科,5-10年,7048961,大数据开发工程师,20k-40k,数据分析,背景雄厚 技术大牛,2020-04-23
上市公司,企业服务,长亮科技,2000人以上,本科,5-10年,6450497,大数据开发工程师,15k-25k,数据分析,五险一金 年休假 出国机会 体检,2020-04-23
上市公司,社交,腾讯,2000人以上,本科,3-5年,6522577,大数据开发工程师,25k-40k,数据分析,大平台,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,本科,3-5年,5866564,大数据开发工程师,16k-20k,数据分析,"节日礼金,五险一金,体检旅游,年底双薪",2020-04-23
D轮及以上,移动互联网,智慧芽,150-500人,不限,不限,6260916,大数据开发工程师,15k-25k,数据分析,管理偏平、老板NICE、上班不打卡,2020-04-23
B轮,"移动互联网,消费生活",喜茶,2000人以上,本科,3-5年,6410348,大数据开发工程师,15k-30k,数据分析,待遇好，平台大，氛围好,2020-04-23
B轮,"移动互联网,企业服务",房极客,150-500人,本科,5-10年,5550164,大数据开发工程师,20k-40k,数据分析,"发展空间大,薪酬提升快,股票期权",2020-04-23
上市公司,"移动互联网,企业服务",51JOB,2000人以上,硕士,1-3年,5008024,大数据开发工程师,12k-24k,数据分析,"带薪年假,技术大神,五险一金",2020-04-23
B轮,"移动互联网,人工智能",新数智能科技,50-150人,本科,3-5年,6914228,大数据开发工程师,20k-30k,数据分析,双休、五险一金、项目奖金、公司定期旅游,2020-04-23
上市公司,社交,腾讯,2000人以上,本科,5-10年,6812664,大数据开发工程师,30k-55k,数据分析,PB级大数据平台 待遇优 团队氛围好,2020-04-23
C轮,"移动互联网,信息安全",Trusfort芯盾时代,150-500人,本科,5-10年,6387900,大数据开发工程师,15k-25k,数据分析,"五险一金,工作居住证,节日福利,出国旅游",2020-04-23
D轮及以上,"移动互联网,企业服务",拉勾猎头,500-2000人,本科,3-5年,6946157,大数据开发工程师,20k-35k,数据分析,技术氛围,2020-04-23
C轮,文娱丨内容,字节跳动,2000人以上,本科,3-5年,5184066,大数据开发工程师,25k-45k,数据分析,六险一金，弹性工作，免费三餐，租房补贴,2020-04-23
未融资,移动互联网,洛众科技,15-50人,本科,5-10年,6799578,大数据开发工程师,30k-60k,数据分析,福利好,2020-04-23
不需要融资,电商,Babycare,2000人以上,大专,3-5年,6959842,大数据平台开发工程师(J10563),15k-25k,数据分析,五险一金 年度体检 法定节假日等,2020-04-23
不需要融资,移动互联网,博悦科创,500-2000人,大专,1-3年,6982304,大数据开发工程师,10k-18k,数据分析,五险一金 定期体检 员工旅游 年终奖,2020-04-23
不需要融资,金融,包银消费金融,150-500人,本科,3-5年,6892635,大数据开发工程师 （数据分析方向）(J10262),15k-25k,数据分析,六险一金；节日福利；年终奖,2020-04-23
不需要融资,游戏,tap4fun,500-2000人,本科,3-5年,6855471,大数据开发工程师,17k-34k,数据分析,五险一金/免费下午茶/扁平化管理,2020-04-23
未融资,"教育,企业服务",弘衍科技,15-50人,本科,1-3年,6942609,大数据开发工程师,17k-22k,数据分析,作五休二，项目前景好,2020-04-23
A轮,"移动互联网,金融",蘑菇公司,50-150人,本科,3-5年,6931994,大数据开发工程师,15k-30k,数据分析,发展空间大 福利待遇好,2020-04-23
上市公司,通讯电子,移动设计院,2000人以上,本科,3-5年,6290536,大数据开发工程师,14k-28k,数据分析,福利,2020-04-23
不需要融资,电商,高阳捷迅,150-500人,本科,应届毕业生,6597832,大数据开发工程师,10k-15k,数据分析,七险一金餐补带薪年假全额公积金定期体检,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,本科,3-5年,3687206,大数据开发工程师,12k-20k,数据分析,"五险一金,年终奖,体检旅游,过节费",2020-04-23
上市公司,社交,腾讯,2000人以上,本科,5-10年,6803410,大数据开发工程师,18k-30k,数据分析,企业氛围,2020-04-23
不需要融资,"移动互联网,金融",海万科技,500-2000人,本科,3-5年,6121631,大数据开发工程师,14k-18k,数据分析,"五险一金,体检旅游,年终奖金,节日礼金",2020-04-23
A轮,"企业服务,数据服务",博依特,50-150人,本科,1-3年,5699001,大数据开发工程师,10k-20k,数据分析,阿里大牛，数百亿数据沉淀，氛围好,2020-04-23
不需要融资,"移动互联网,金融",文思海辉·金融,2000人以上,本科,3-5年,7058651,大数据开发工程师,12k-22k,数据分析,五险一金 年度体检 年度旅游,2020-04-23
不需要融资,移动互联网,酷划在线,150-500人,本科,3-5年,7016845,大数据开发工程师,15k-30k,数据分析,舒适工作环境 诱惑薪酬福利 良好文化氛围,2020-04-23
